XOM ,CVX,KMI ,WMB,LNG,SP500 ,Date
-0.0044,0.0096,-0.0046,-0.0076,-0.0023,-0.0045,5/3/19
-0.0053,-0.0011,0.0062,0.0051,0.0143,-0.0165,5/6/19
0.0016,-0.0065,0.0056,-0.0156,-0.0215,-0.0016,5/7/19
-0.0009,0.0314,0.0031,-0.0048,0.0177,-0.003,5/8/19
0.0087,0.0066,-0.0015,0.0219,0.0446,0.0037,5/9/19
-0.0111,-0.0127,-0.0015,-0.0113,-0.0329,-0.0241,5/10/19
0.0013,0.01,0.0132,0.0088,0.0224,0.008,5/13/19
0.0074,0.0041,0.0105,0.0084,-0.0013,0.0058,5/14/19
-0.0001,-0.0012,0.0139,-0.0029,0.0118,0.0089,5/15/19
-0.0059,-0.0023,-0.0103,-0.0047,-0.0088,-0.0058,5/16/19
-0.0001,0.0027,0.004,-0.0015,-0.0121,-0.0067,5/17/19
0.0046,0.0041,0.0025,0.0157,0.0111,0.0085,5/20/19
-0.009,-0.0063,0,-0.0093,-0.0086,-0.0028,5/21/19
-0.0234,-0.0224,-0.0187,-0.0224,-0.0251,-0.0119,5/22/19
0.0042,0.0071,0.005,-0.0007,-0.0051,0.0014,5/23/19
-0.0201,-0.0034,-0.009,-0.0226,-0.0307,-0.0084,5/24/19
-0.0062,-0.013,0.0015,-0.003,0.0219,-0.0069,5/28/19
-0.0026,-0.0119,0.0075,0.0125,-0.0147,0.0021,5/29/19
-0.0167,-0.0133,-0.0055,-0.0094,0.0027,-0.0132,5/30/19
0.0157,0.0188,0.0095,0.0186,0.0247,-0.0028,5/31/19
0.0238,0.0113,0.0099,0.0305,0.0216,0.0214,6/3/19
-0.0083,0.003,0.0064,0.0058,-0.0059,0.0082,6/4/19
0.0182,0.0258,0.0191,0.0029,0.0227,0.0061,6/5/19
0.0036,0.0066,0.0129,0.0076,0.0054,0.0105,6/6/19
0.0044,0.0067,-0.0118,-0.0101,-0.0178,0.0047,6/7/19
-0.0009,-0.0092,-0.0048,0.0055,-0.0038,-0.0003,6/10/19
-0.0108,-0.0081,-0.0192,-0.0152,-0.0178,-0.002,6/11/19
0.0088,0.006,0.0069,0.0062,0.0117,0.0041,6/12/19
-0.0044,-0.0008,0.0005,-0.0142,-0.0049,-0.0016,6/13/19
0.01,0.0048,-0.0005,0.0019,0.0046,0.0009,6/14/19
0.0087,0.0127,0.0136,0.0081,0.0107,0.0097,6/17/19
-0.0055,-0.0003,0.0067,-0.0114,0.0077,0.003,6/18/19
0.0171,0.0113,0.0076,0.0141,0.0193,0.0095,6/19/19
0.0141,0.0052,0.0133,0.0135,0.0103,-0.0013,6/20/19
-0.0095,-0.0002,-0.0103,-0.0199,-0.0089,-0.0017,6/21/19
-0.0088,-0.0102,-0.0274,-0.0133,-0.0088,-0.0095,6/24/19
0.0043,0.0023,0.0029,0.0265,0.0139,-0.0012,6/25/19
-0.0102,-0.0066,-0.0111,0.0015,-0.0061,0.0038,6/26/19
0.0107,0.0108,0.023,0.0182,0.0034,0.0058,6/27/19
-0.0009,0.0032,0,0.0007,0.0244,0.0077,6/28/19
-0.011,-0.0153,0.0053,0.005,-0.0091,0.0029,7/1/19
0.0095,0.0034,0.0043,0.0067,-0.0058,0.0077,7/2/19
-0.0041,0.0015,0.0014,-0.0014,-0.0045,-0.0018,7/3/19
0.0046,0.0005,-0.0024,0.0032,0.0001,-0.0048,7/5/19
-0.0007,-0.002,0.0085,0.0105,-0.0041,0.0012,7/8/19
0.0141,0.0169,-0.0028,0.0028,0.0025,0.0045,7/9/19
0.0008,-0.0001,0.0042,-0.0038,0.0057,0.0023,7/10/19
0.0008,0.0044,0.0009,0.0049,0.0064,0.0046,7/11/19
-0.0071,-0.0021,-0.0023,-0.0017,-0.0147,0.0002,7/12/19
