,,,,,,,,
Date,XOM ,CVX,KMI ,WMB,LNG,SP500 ,,
2019-04-23,-1.94%,-3.07%,0.00%,-0.49%,-2.12%,-0.22%,,
2019-04-24,0.56%,-0.32%,-0.55%,-0.73%,-1.07%,-0.04%,,
2019-04-25,-2.10%,-0.68%,1.30%,0.07%,0.75%,0.47%,,
2019-04-26,-0.65%,0.53%,-0.60%,-0.70%,-0.64%,0.11%,,
2019-04-29,0.39%,1.99%,0.05%,0.14%,-0.98%,0.10%,,
2019-04-30,-2.01%,-1.87%,-1.41%,-1.24%,0.16%,-0.75%,,
2019-05-01,-1.75%,-1.21%,-1.17%,-1.86%,-0.31%,-0.21%,,
2019-05-02,0.23%,0.76%,0.88%,0.47%,0.34%,0.96%,,
2019-05-03,-0.44%,0.96%,-0.46%,-0.76%,-0.23%,-0.45%,,
2019-05-06,-0.53%,-0.11%,0.62%,0.51%,1.43%,-1.65%,,
2019-05-07,0.16%,-0.65%,0.56%,-1.56%,-2.15%,-0.16%,,
2019-05-08,-0.09%,3.14%,0.31%,-0.48%,1.77%,-0.30%,,
2019-05-09,0.87%,0.66%,-0.15%,2.19%,4.46%,0.37%,,
2019-05-10,-1.11%,-1.27%,-0.15%,-1.13%,-3.29%,-2.41%,,
2019-05-13,0.13%,1.00%,1.32%,0.88%,2.24%,0.80%,,
2019-05-14,0.74%,0.41%,1.05%,0.84%,-0.13%,0.58%,,
2019-05-15,-0.01%,-0.12%,1.39%,-0.29%,1.18%,0.89%,,
2019-05-16,-0.59%,-0.23%,-1.03%,-0.47%,-0.88%,-0.58%,,
2019-05-17,-0.01%,0.27%,0.40%,-0.15%,-1.21%,-0.67%,,
2019-05-20,0.46%,0.41%,0.25%,1.57%,1.11%,0.85%,,
2019-05-21,-0.90%,-0.63%,0.00%,-0.93%,-0.86%,-0.28%,,
2019-05-22,-2.34%,-2.24%,-1.87%,-2.24%,-2.51%,-1.19%,,
2019-05-23,0.42%,0.71%,0.50%,-0.07%,-0.51%,0.14%,,
2019-05-24,-2.01%,-0.34%,-0.90%,-2.26%,-3.07%,-0.84%,,
2019-05-28,-0.62%,-1.30%,0.15%,-0.30%,2.19%,-0.69%,,
2019-05-29,-0.26%,-1.19%,0.75%,1.25%,-1.47%,0.21%,,
2019-05-30,-1.67%,-1.33%,-0.55%,-0.94%,0.27%,-1.32%,,
